"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","log_Days_16C","Max_Monthly_Anomaly_Upwelling_Temp","Days_10N","log_UBR_Max","mean_depth","mean_prob_of_rock","log_Mean_Monthly_NPP_Upwelling","log_Min_Monthly_NPP","cumsum.wi"
"log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2498.15437540767,2657.07327592523,0.73406,NA,29.9,0,32.251,16.239,0,0,0,1,0,0,1,1,1,0,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Anomaly_Upwelling_Temp","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Anomaly_Upwelling_Temp","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2498.24546886367,2679.17105006361,0.73866,NA,36.1,0,32.342,38.336,0,0,1,1,0,0,0,0,1,0,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2498.37967137158,2663.55881142885,0.73485,NA,31.93,0,32.476,22.724,0,0,1,1,0,1,1,1,1,0,0.993
"log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2498.79941580431,2673.3032961885,0.73871,NA,34.2,0,32.896,32.469,0,0,0,1,0,0,0,1,1,0,0.993
"log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2499.10016141784,2661.7339932339,0.73489,NA,30.77,0,33.196,20.899,0,0,0,1,0,1,1,1,1,0,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2499.2300248863,2670.94742246156,0.73518,NA,33.56,0,33.326,30.113,0,0,1,1,0,0,1,0,1,0,0.993
"log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2499.51261583894,2668.89647755261,0.736,NA,32.73,0,33.609,28.062,0,0,0,1,0,0,1,0,1,0,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2500.16176294003,2680.70856174791,0.7391,NA,35.5,0,34.258,39.874,0,0,1,1,0,0,0,1,1,0,0.993
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2501.97939279441,2700.15576716715,0.72432,NA,39.52,0,36.076,59.321,0,0,0,0,1,1,0,0,1,1,0.993
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+mean_prob_of_rock","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2502.73394029747,2700.39916053621,0.72446,NA,39.46,0,36.83,59.565,0,0,0,0,1,1,0,1,1,1,0.993
