"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","log_Days_16C","Max_Monthly_Anomaly_Upwelling_Temp","Days_10N","log_UBR_Max","mean_depth","mean_prob_of_rock","log_Mean_Monthly_NPP_Upwelling","log_Min_Monthly_NPP","cumsum.wi"
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+mean_prob_of_rock","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2515.33092527194,2692.2801926293,0.72871,NA,35.1,0,49.427,51.446,0,0,0,0,1,1,0,1,1,0,0.993
"Days_10N+log_UBR_Max+mean_depth+mean_prob_of_rock","Days_10N+log_UBR_Max+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2515.43204222583,2680.67049876553,0.73025,NA,32.87,0,49.528,39.836,0,0,0,0,1,1,1,1,0,0,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+mean_depth","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+mean_depth","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2515.79640308019,2681.80125569167,0.7287,NA,34.05,0,49.893,40.967,0,0,1,0,0,1,1,0,1,0,0.993
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+mean_prob_of_rock","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2515.90843808595,2697.6411610343,0.7292,NA,36.24,0,50.005,56.807,0,0,1,0,1,1,0,1,1,0,0.993
"log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+mean_depth+mean_prob_of_rock","log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+mean_depth+mean_prob_of_rock","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2516.26410228911,2677.69186512142,0.72903,NA,32.55,0,50.36,36.857,0,0,0,0,0,1,1,1,1,0,0.993
"Days_10N+log_Days_16C+log_UBR_Max+mean_depth+mean_prob_of_rock","Days_10N+log_Days_16C+log_UBR_Max+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2516.51498215813,2686.45268839764,0.73061,NA,34.01,0,50.611,45.618,0,0,1,0,1,1,1,1,0,0,0.993
"log_Days_16C+log_UBR_Max+mean_depth+mean_prob_of_rock","log_Days_16C+log_UBR_Max+mean_depth+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2516.53389739363,2678.78783202879,0.7294,NA,32.74,0,50.63,37.953,0,0,1,0,0,1,1,1,0,0,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+mean_prob_of_rock","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2517.04641452316,2691.54169781038,0.72916,NA,34.88,0,51.143,50.707,0,0,1,0,0,1,0,1,1,0,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+mean_depth+mean_prob_of_rock","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+mean_depth+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2517.90864969092,2684.05600140466,0.72933,NA,33.65,0,52.005,43.221,0,0,1,0,0,1,1,1,1,0,0.993
"log_Min_Monthly_NPP","log_Min_Monthly_NPP","s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2518.34069428691,2679.24307482554,0.71706,NA,33.25,0,52.437,38.408,0,0,0,0,0,0,0,0,0,1,0.993
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+mean_depth","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2518.48469008545,2697.03665345196,0.73024,NA,34.59,0,52.581,56.202,0,0,0,0,1,1,1,0,1,0,0.993
"log_Min_Monthly_NPP+mean_prob_of_rock","log_Min_Monthly_NPP+mean_prob_of_rock","s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2519.14554009343,2678.09174472911,0.71677,NA,32.63,0,53.242,37.257,0,0,0,0,0,0,0,1,0,1,0.993
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+mean_depth+mean_prob_of_rock","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2519.61188635654,2696.85111140742,0.73106,NA,34.27,0,53.708,56.016,0,0,0,0,1,1,1,1,1,0,0.993
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+mean_depth","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2520.03660052368,2703.041881889,0.73038,NA,35.62,0,54.133,62.207,0,0,1,0,1,1,1,0,1,0,0.993
"log_Days_16C+log_Min_Monthly_NPP","log_Days_16C+log_Min_Monthly_NPP","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2520.49189739273,2685.48599051744,0.71699,NA,34.19,0,54.588,44.651,0,0,1,0,0,0,0,0,0,1,0.993
"Days_10N+log_Min_Monthly_NPP+mean_prob_of_rock","Days_10N+log_Min_Monthly_NPP+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2520.55647847933,2681.98427768047,0.71593,NA,33.11,0,54.653,41.15,0,0,0,0,1,0,0,1,0,1,0.993
"log_Min_Monthly_NPP+mean_depth+mean_prob_of_rock","log_Min_Monthly_NPP+mean_depth+mean_prob_of_rock","s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2520.72659650841,2671.10818988285,0.71595,NA,30.08,0,54.823,30.274,0,0,0,0,0,0,1,1,0,1,0.993
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+mean_depth+mean_prob_of_rock","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2520.81958827377,2702.11505016197,0.73124,NA,35.3,0,54.916,61.28,0,0,1,0,1,1,1,1,1,0,0.993
"log_Days_16C+log_Min_Monthly_NPP+mean_prob_of_rock","log_Days_16C+log_Min_Monthly_NPP+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2521.3457981,2684.411438895,0.71683,NA,33.57,0,55.442,43.577,0,0,1,0,0,0,0,1,0,1,0.993
"Days_10N+log_Days_16C+log_Min_Monthly_NPP+mean_prob_of_rock","Days_10N+log_Days_16C+log_Min_Monthly_NPP+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2522.65976868834,2688.07315801605,0.71612,NA,34.03,0,56.756,47.239,0,0,1,0,1,0,0,1,0,1,0.993
"log_Days_16C+log_Min_Monthly_NPP+mean_depth+mean_prob_of_rock","log_Days_16C+log_Min_Monthly_NPP+mean_depth+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2522.76306299776,2677.23199293346,0.71594,NA,31.04,0,56.859,36.397,0,0,1,0,0,0,1,1,0,1,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+mean_prob_of_rock","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2523.33005147996,2712.95660619193,0.71774,NA,36.98,0,57.426,72.122,0,0,1,0,0,0,0,1,1,1,0.993
"log_Min_Monthly_NPP+mean_depth","log_Min_Monthly_NPP+mean_depth","s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2523.33159434385,2680.67495947314,0.71617,NA,31.11,0,57.428,39.84,0,0,0,0,0,0,1,0,0,1,0.993
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+mean_depth+mean_prob_of_rock","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2523.36204524777,2697.03268293482,0.71725,NA,33.52,0,57.458,56.198,0,0,0,0,1,0,1,1,1,1,0.993
"Days_10N+log_Days_16C+log_Min_Monthly_NPP","Days_10N+log_Days_16C+log_Min_Monthly_NPP","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2523.4777953089,2710.03580082799,0.71902,NA,36.78,0,57.574,69.201,0,0,1,0,1,0,0,0,0,1,0.993
"log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP","log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2523.51818250322,2701.50297652155,0.71688,NA,34.87,0,57.614,60.668,0,0,0,0,0,0,0,0,1,1,0.993
"Days_10N+log_Min_Monthly_NPP+mean_depth+mean_prob_of_rock","Days_10N+log_Min_Monthly_NPP+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2523.61064732368,2683.58878826593,0.71752,NA,31.28,0,57.707,42.754,0,0,0,0,1,0,1,1,0,1,0.993
"null","null","s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2523.6693723272,2671.13629125679,0.72108,NA,30.61,0,57.766,30.302,0,0,0,0,0,0,0,0,0,0,0.993
"Days_10N+log_Min_Monthly_NPP","Days_10N+log_Min_Monthly_NPP","s(Days_10N, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2524.32613462534,2698.63811333192,0.71696,NA,34.14,0,58.422,57.803,0,0,0,0,1,0,0,0,0,1,0.993
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2524.69526872498,2708.64732370232,0.7169,NA,35.95,0,58.792,67.813,0,0,0,0,1,0,0,0,1,1,0.993
"log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+mean_prob_of_rock","log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+mean_prob_of_rock","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2524.85136587505,2700.11137612029,0.71624,NA,33.91,0,58.948,59.277,0,0,0,0,0,0,0,1,1,1,0.993
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+mean_depth","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2524.89920705938,2717.79607873223,0.71824,NA,36.89,0,58.995,76.961,0,0,1,0,1,0,1,0,1,1,0.993
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+mean_depth","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2524.96136002381,2701.59204086431,0.7167,NA,33.93,0,59.058,60.757,0,0,0,0,1,0,1,0,1,1,0.993
"log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+mean_depth+mean_prob_of_rock","log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+mean_depth+mean_prob_of_rock","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2525.04724325536,2693.11384672365,0.71563,NA,31.86,0,59.144,52.279,0,0,0,0,0,0,1,1,1,1,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2525.14345130868,2706.41473783378,0.71673,NA,35.84,0,59.24,65.58,0,0,1,0,0,0,0,0,1,1,0.993
"Days_10N+log_Min_Monthly_NPP+mean_depth","Days_10N+log_Min_Monthly_NPP+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2525.23526879156,2688.25717163072,0.71713,NA,31.63,0,59.332,47.423,0,0,0,0,1,0,1,0,0,1,0.993
"log_Mean_Monthly_NPP_Upwelling","log_Mean_Monthly_NPP_Upwelling","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2525.28161265844,2676.63528207941,0.72111,NA,31.48,0,59.378,35.801,0,0,0,0,0,0,0,0,1,0,0.993
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+mean_depth+mean_prob_of_rock","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2525.31697352638,2703.01904831002,0.71732,NA,34.49,0,59.413,62.184,0,0,1,0,1,0,1,1,1,1,0.993
"log_Days_16C+log_Min_Monthly_NPP+mean_depth","log_Days_16C+log_Min_Monthly_NPP+mean_depth","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2525.62079570504,2686.62598662633,0.71564,NA,31.89,0,59.717,45.791,0,0,1,0,0,0,1,0,0,1,0.993
"Days_10N+log_Days_16C+log_Min_Monthly_NPP+mean_depth+mean_prob_of_rock","Days_10N+log_Days_16C+log_Min_Monthly_NPP+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2525.69810165287,2689.8833882854,0.71769,NA,32.23,0,59.794,49.049,0,0,1,0,1,0,1,1,0,1,0.993
"log_Days_16C","log_Days_16C","s(log_Days_16C, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2525.80914832488,2677.53456029283,0.72112,NA,31.59,0,59.905,36.7,0,0,1,0,0,0,0,0,0,0,0.993
"log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+mean_depth","log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+mean_depth","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2525.95017301916,2699.0813799398,0.71608,NA,33.24,0,60.046,58.247,0,0,0,0,0,0,1,0,1,1,0.993
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+mean_prob_of_rock","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2526.19487157957,2702.36030297138,0.71506,NA,34.05,0,60.291,61.526,0,0,0,0,1,0,0,1,1,1,0.993
"mean_depth+mean_prob_of_rock","mean_depth+mean_prob_of_rock","s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2526.337139681,2662.01376532138,0.71908,NA,27.09,0,60.433,21.179,0,0,0,0,0,0,1,1,0,0,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+mean_depth+mean_prob_of_rock","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+mean_depth+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2526.44253733102,2697.56345502564,0.71551,NA,32.84,0,60.539,56.729,0,0,1,0,0,0,1,1,1,1,0.993
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2526.78094209925,2715.12649367454,0.71695,NA,36.94,0,60.877,74.292,0,0,1,0,1,0,0,0,1,1,0.993
"mean_prob_of_rock","mean_prob_of_rock","s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2527.02176761332,2677.76794616449,0.72098,NA,29.99,0,61.118,36.933,0,0,0,0,0,0,0,1,0,0,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling","log_Days_16C+log_Mean_Monthly_NPP_Upwelling","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2527.37572174376,2682.85115335075,0.72115,NA,32.45,0,61.472,42.017,0,0,1,0,0,0,0,0,1,0,0.993
"log_Mean_Monthly_NPP_Upwelling+mean_depth+mean_prob_of_rock","log_Mean_Monthly_NPP_Upwelling+mean_depth+mean_prob_of_rock","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2527.43335427356,2666.98243285033,0.71931,NA,27.99,0,61.53,26.148,0,0,0,0,0,0,1,1,1,0,0.993
"Days_10N+log_Days_16C+log_Min_Monthly_NPP+mean_depth","Days_10N+log_Days_16C+log_Min_Monthly_NPP+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2527.58785872865,2694.77408912235,0.71692,NA,32.51,0,61.684,53.939,0,0,1,0,1,0,1,0,0,1,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+mean_depth","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+mean_depth","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2527.91955327077,2704.03935077467,0.71554,NA,34,0,62.016,63.205,0,0,1,0,0,0,1,0,1,1,0.993
"Days_10N+mean_prob_of_rock","Days_10N+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2528.05145876763,2680.15932406311,0.71976,NA,30.38,0,62.148,39.325,0,0,0,0,1,0,0,1,0,0,0.993
