"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Days_10N","Min_Monthly_Nitrate","Max_Monthly_Nitrate","Mean_Monthly_Nitrate","Mean_Monthly_Upwelling_Nitrate","Mean_Monthly_Temp","Max_Monthly_Anomaly_Upwelling_Temp","wh_95prc","wh_max","log_den_STRPURAD","log_Days_16C","log_UBR_Mean","log_UBR_Max","log_Mean_Monthly_NPP_Upwelling","Mean_Monthly_NPP","Max_Monthly_NPP_Upwelling","cumsum.wi"
"log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Max_Monthly_NPP_Upwelling+wh_max","log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Max_Monthly_NPP_Upwelling+wh_max","s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1366.48864339002,1532.65510541122,0.41634,NA,35.74,0,44.418,31.204,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0.999
"log_Days_16C+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP+wh_95prc","log_Days_16C+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP+wh_95prc","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1366.48897453846,1545.35166940369,0.33846,NA,37.99,0,44.418,43.9,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0.999
"Days_10N+log_den_STRPURAD+Mean_Monthly_Nitrate+wh_max","Days_10N+log_den_STRPURAD+Mean_Monthly_Nitrate+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1366.58432230694,1522.01379924228,0.46186,NA,31.9,0,44.513,20.562,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.999
"Days_10N+log_Days_16C+log_UBR_Mean+Max_Monthly_Nitrate+wh_max","Days_10N+log_Days_16C+log_UBR_Mean+Max_Monthly_Nitrate+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1366.61173955469,1527.79007512649,0.37745,NA,32.92,0,44.541,26.339,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0.999
"Days_10N+log_Days_16C+log_den_STRPURAD+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP","Days_10N+log_Days_16C+log_den_STRPURAD+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1366.66149785522,1545.85854845226,0.33733,NA,35.91,0,44.59,44.407,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0.999
"log_Days_16C+log_den_STRPURAD+Mean_Monthly_NPP+Mean_Monthly_Temp+wh_max","log_Days_16C+log_den_STRPURAD+Mean_Monthly_NPP+Mean_Monthly_Temp+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(Mean_Monthly_Temp, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1366.68531672854,1539.81905267694,0.45415,NA,35.38,0,44.614,38.368,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0.999
"log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Mean_Monthly_Nitrate+wh_max","log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Mean_Monthly_Nitrate+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1366.6952098265,1534.40247705747,0.45588,NA,33.15,0,44.624,32.951,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0.999
"log_den_STRPURAD+wh_max","log_den_STRPURAD+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1366.70771895426,1515.59494372825,0.43627,NA,31.88,0,44.637,14.144,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.999
"Days_10N+log_Days_16C+log_UBR_Mean+Max_Monthly_Nitrate+wh_95prc","Days_10N+log_Days_16C+log_UBR_Mean+Max_Monthly_Nitrate+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1366.7084894961,1529.19804912849,0.39856,NA,34.06,0,44.637,27.747,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0.999
"Days_10N+log_den_STRPURAD+Mean_Monthly_NPP+Mean_Monthly_Temp+wh_max","Days_10N+log_den_STRPURAD+Mean_Monthly_NPP+Mean_Monthly_Temp+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(Mean_Monthly_Temp, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1366.71990612201,1534.40850382697,0.45845,NA,34.58,0,44.649,32.957,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0.999
"log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Mean+wh_max","log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Mean+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1366.73831876715,1519.15265103142,0.43859,NA,32.79,0,44.667,17.701,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0.999
"log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Min_Monthly_Nitrate+wh_95prc+wh_max","log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Min_Monthly_Nitrate+wh_95prc+wh_max","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1366.76791504209,1545.98462465006,0.44921,NA,37.48,0,44.697,44.533,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0.999
"Days_10N+log_den_STRPURAD+log_UBR_Max+Min_Monthly_Nitrate","Days_10N+log_den_STRPURAD+log_UBR_Max+Min_Monthly_Nitrate","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1366.91955317625,1536.99300915264,0.46352,NA,36.04,0,44.848,35.542,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.999
"log_UBR_Max+Max_Monthly_NPP_Upwelling+Min_Monthly_Nitrate+wh_95prc+wh_max","log_UBR_Max+Max_Monthly_NPP_Upwelling+Min_Monthly_Nitrate+wh_95prc+wh_max","s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1366.96528588821,1546.34600780022,0.44911,NA,37.53,0,44.894,44.895,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0.999
"Days_10N+log_Days_16C+log_UBR_Max+Min_Monthly_Nitrate+wh_95prc+wh_max","Days_10N+log_Days_16C+log_UBR_Max+Min_Monthly_Nitrate+wh_95prc+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1366.98794432613,1554.04351694076,0.44987,NA,39.16,0,44.917,52.592,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0.999
"log_Days_16C+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_max","log_Days_16C+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1366.98967825311,1527.08556862456,0.36546,NA,32.26,0,44.919,25.634,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.999
"log_den_STRPURAD+log_UBR_Mean+Max_Monthly_NPP_Upwelling+wh_max","log_den_STRPURAD+log_UBR_Mean+Max_Monthly_NPP_Upwelling+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.03211363265,1519.5392274918,0.43847,NA,32.75,0,44.961,18.088,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0.999
"Days_10N+log_Days_16C+log_UBR_Mean+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_95prc","Days_10N+log_Days_16C+log_UBR_Mean+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.04544345655,1542.38267800543,0.40677,NA,36.11,0,44.974,40.931,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0.999
"log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Mean_Monthly_Nitrate+wh_95prc+wh_max","log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Mean_Monthly_Nitrate+wh_95prc+wh_max","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.14980427611,1536.20598182829,0.45693,NA,36.18,0,45.079,34.755,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0.999
"Days_10N+log_Days_16C+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_95prc+wh_max","Days_10N+log_Days_16C+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_95prc+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.17975601365,1550.27313791285,0.39599,NA,37.22,0,45.109,48.822,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0.999
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Mean+Max_Monthly_Nitrate+wh_95prc","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Mean+Max_Monthly_Nitrate+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.18254780498,1542.77312363396,0.4044,NA,36.14,0,45.111,41.322,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0.999
"Days_10N+log_Days_16C+log_UBR_Mean+Max_Monthly_Anomaly_Upwelling_Temp+wh_95prc+wh_max","Days_10N+log_Days_16C+log_UBR_Mean+Max_Monthly_Anomaly_Upwelling_Temp+wh_95prc+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.23124517208,1547.3399802392,0.33169,NA,38.01,0,45.16,45.889,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0.999
"Days_10N+log_Days_16C+log_den_STRPURAD+Max_Monthly_Anomaly_Upwelling_Temp+Max_Monthly_NPP_Upwelling","Days_10N+log_Days_16C+log_den_STRPURAD+Max_Monthly_Anomaly_Upwelling_Temp+Max_Monthly_NPP_Upwelling","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.2511084351,1531.10833383096,0.3314,NA,34.03,0,45.18,29.657,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0.999
"Days_10N+log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+Mean_Monthly_NPP","Days_10N+log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+Mean_Monthly_NPP","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.36258794564,1542.50527097673,0.40018,NA,36.82,0,45.292,41.054,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.999
"Days_10N+log_den_STRPURAD+log_UBR_Mean+Mean_Monthly_Nitrate+Mean_Monthly_NPP+wh_max","Days_10N+log_den_STRPURAD+log_UBR_Mean+Mean_Monthly_Nitrate+Mean_Monthly_NPP+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.36631233589,1532.97097206295,0.46438,NA,33.52,0,45.295,31.52,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0.999
"Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP","Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.39548970502,1547.30451207502,0.33745,NA,36.31,0,45.324,45.853,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0.999
"log_Days_16C+log_UBR_Mean+Max_Monthly_Anomaly_Upwelling_Temp+wh_95prc+wh_max","log_Days_16C+log_UBR_Mean+Max_Monthly_Anomaly_Upwelling_Temp+wh_95prc+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.40374813159,1542.50298510952,0.34698,NA,37.48,0,45.333,41.052,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0.999
"log_den_STRPURAD+log_UBR_Mean+Mean_Monthly_NPP+Mean_Monthly_Upwelling_Nitrate+wh_max","log_den_STRPURAD+log_UBR_Mean+Mean_Monthly_NPP+Mean_Monthly_Upwelling_Nitrate+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(Mean_Monthly_Upwelling_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.50262934029,1532.8932501257,0.46018,NA,33.36,0,45.432,31.442,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0.999
"Days_10N+log_Days_16C+log_UBR_Mean+Max_Monthly_Nitrate+wh_95prc+wh_max","Days_10N+log_Days_16C+log_UBR_Mean+Max_Monthly_Nitrate+wh_95prc+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.52268061914,1544.30137086069,0.40019,NA,35.93,0,45.452,42.85,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0.999
"log_den_STRPURAD+log_UBR_Mean+Max_Monthly_Anomaly_Upwelling_Temp","log_den_STRPURAD+log_UBR_Mean+Max_Monthly_Anomaly_Upwelling_Temp","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.57173577059,1523.49921981173,0.41558,NA,32.48,0,45.501,22.048,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.999
"Days_10N+log_Days_16C+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP+wh_95prc+wh_max","Days_10N+log_Days_16C+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP+wh_95prc+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.58743910817,1559.82703954296,0.33426,NA,39.77,0,45.516,58.376,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0.999
"log_Days_16C+Max_Monthly_Anomaly_Upwelling_Temp+wh_95prc+wh_max","log_Days_16C+Max_Monthly_Anomaly_Upwelling_Temp+wh_95prc+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.59640713411,1541.21320654939,0.34012,NA,37.24,0,45.525,39.762,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0.999
"log_Days_16C+log_UBR_Mean+Max_Monthly_Nitrate+wh_95prc","log_Days_16C+log_UBR_Mean+Max_Monthly_Nitrate+wh_95prc","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.60892231199,1527.3686393041,0.38171,NA,32.92,0,45.538,25.917,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0.999
"Days_10N+log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+Min_Monthly_Nitrate+wh_max","Days_10N+log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+Min_Monthly_Nitrate+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.64049721096,1548.03205913511,0.46084,NA,37.41,0,45.569,46.581,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0.999
"log_Days_16C+log_UBR_Max+Mean_Monthly_NPP+Mean_Monthly_Temp+wh_95prc+wh_max","log_Days_16C+log_UBR_Max+Mean_Monthly_NPP+Mean_Monthly_Temp+wh_95prc+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(Mean_Monthly_Temp, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.68279024345,1557.27314366497,0.45584,NA,39.33,0,45.612,55.822,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0.999
"Days_10N+log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Anomaly_Upwelling_Temp","Days_10N+log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Anomaly_Upwelling_Temp","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.72603640312,1532.65529923458,0.33285,NA,34.19,0,45.655,31.204,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0.999
"Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_Anomaly_Upwelling_Temp+Max_Monthly_NPP_Upwelling","Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_Anomaly_Upwelling_Temp+Max_Monthly_NPP_Upwelling","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.72903929401,1533.35730277636,0.33184,NA,34.52,0,45.658,31.906,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0.999
"Days_10N+log_Days_16C+Max_Monthly_Nitrate+wh_95prc","Days_10N+log_Days_16C+Max_Monthly_Nitrate+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.74934500514,1530.33915675958,0.38489,NA,33.78,0,45.678,28.888,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.999
"log_Days_16C+log_UBR_Max+Min_Monthly_Nitrate+wh_95prc+wh_max","log_Days_16C+log_UBR_Max+Min_Monthly_Nitrate+wh_95prc+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.8141060124,1551.26924070119,0.44817,NA,38.22,0,45.743,49.818,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0.999
