"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Days_10N","Min_Monthly_Nitrate","Max_Monthly_Nitrate","Mean_Monthly_Nitrate","Mean_Monthly_Upwelling_Nitrate","Mean_Monthly_Temp","Max_Monthly_Anomaly_Upwelling_Temp","wh_95prc","wh_max","log_den_STRPURAD","log_Days_16C","log_UBR_Mean","log_UBR_Max","log_Mean_Monthly_NPP_Upwelling","Mean_Monthly_NPP","Max_Monthly_NPP_Upwelling","cumsum.wi"
"log_den_STRPURAD+Max_Monthly_Nitrate","log_den_STRPURAD+Max_Monthly_Nitrate","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1357.65997167445,1507.31985632727,0.45308,NA,32.13,0,35.589,5.869,0,0.006,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.999
"log_den_STRPURAD+log_UBR_Max+Mean_Monthly_Temp+wh_max","log_den_STRPURAD+log_UBR_Max+Mean_Monthly_Temp+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_Temp, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1357.68186580174,1520.87498558706,0.46412,NA,34.28,0,35.611,19.424,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0.999
"log_Days_16C+log_den_STRPURAD+Max_Monthly_NPP_Upwelling+Mean_Monthly_Temp+wh_95prc","log_Days_16C+log_den_STRPURAD+Max_Monthly_NPP_Upwelling+Mean_Monthly_Temp+wh_95prc","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Mean_Monthly_Temp, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1357.69516930802,1535.42202414083,0.48759,NA,36.71,0,35.624,33.971,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0.999
"log_Days_16C+log_den_STRPURAD+log_UBR_Mean+wh_95prc+wh_max","log_Days_16C+log_den_STRPURAD+log_UBR_Mean+wh_95prc+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1357.70063794963,1538.87661871439,0.45872,NA,37.81,0,35.63,37.425,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0.999
"log_den_STRPURAD+Max_Monthly_NPP_Upwelling+Mean_Monthly_Upwelling_Nitrate+wh_95prc","log_den_STRPURAD+Max_Monthly_NPP_Upwelling+Mean_Monthly_Upwelling_Nitrate+wh_95prc","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Mean_Monthly_Upwelling_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1357.70965089633,1522.4266018533,0.48373,NA,34.66,0,35.639,20.975,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.999
"Days_10N+log_den_STRPURAD+log_UBR_Max+Mean_Monthly_Temp+wh_max","Days_10N+log_den_STRPURAD+log_UBR_Max+Mean_Monthly_Temp+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_Temp, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1357.71845719006,1531.22773160577,0.46927,NA,36.03,0,35.647,29.776,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0.999
"log_den_STRPURAD+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP","log_den_STRPURAD+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1357.72546269943,1520.45461793711,0.41909,NA,34.39,0,35.654,19.003,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.999
"Days_10N+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_max","Days_10N+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1357.75715088937,1538.30468365263,0.46673,NA,36.19,0,35.686,36.853,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0.999
"log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+Mean_Monthly_Upwelling_Nitrate+wh_95prc+wh_max","log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+Mean_Monthly_Upwelling_Nitrate+wh_95prc+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Mean_Monthly_Upwelling_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1357.76624980444,1541.87359614314,0.48537,NA,37.85,0,35.695,40.422,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0.999
"log_Days_16C+log_den_STRPURAD+Mean_Monthly_NPP+Mean_Monthly_Upwelling_Nitrate+wh_95prc+wh_max","log_Days_16C+log_den_STRPURAD+Mean_Monthly_NPP+Mean_Monthly_Upwelling_Nitrate+wh_95prc+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(Mean_Monthly_Upwelling_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1357.78737060491,1546.18512507862,0.48342,NA,38.49,0,35.716,44.734,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0.999
