"year","latlon","max.area","latitude","longitude","longitude.1","latitude.1"
"2021","38.8797_-123.6857",33,38.8797,-123.6857,-123.6857,38.8797
"2021","38.88669_-123.691",34,38.88669,-123.691,-123.691,38.88669
"2021","38.88937_-123.6962",26,38.88937,-123.6962,-123.6962,38.88937
"2021","38.89206_-123.6983",47,38.89206,-123.6983,-123.6983,38.89206
"2021","38.8923_-123.7035",27,38.8923,-123.7035,-123.7035,38.8923
"2021","38.89258_-123.7007",29,38.89258,-123.7007,-123.7007,38.89258
"2021","38.89552_-123.7077",88,38.89552,-123.7077,-123.7077,38.89552
"2021","38.89742_-123.7053",29,38.89742,-123.7053,-123.7053,38.89742
"2021","38.9044_-123.714",101,38.9044,-123.714,-123.714,38.9044
"2021","38.91401_-123.7335",79,38.91401,-123.7335,-123.7335,38.91401
"2021","38.91431_-123.729",45,38.91431,-123.729,-123.729,38.91431
"2021","38.9159_-123.7342",74,38.9159,-123.7342,-123.7342,38.9159
"2021","38.91619_-123.7304",146,38.91619,-123.7304,-123.7304,38.91619
"2021","38.91997_-123.7322",97,38.91997,-123.7322,-123.7322,38.91997
"2021","38.92889_-123.7319",225,38.92889,-123.7319,-123.7319,38.92889
"2021","38.93266_-123.7344",61,38.93266,-123.7344,-123.7344,38.93266
"2021","38.93454_-123.7354",38,38.93454,-123.7354,-123.7354,38.93454
"2021","38.94181_-123.74",176,38.94181,-123.74,-123.74,38.94181
"2021","39.06857_-123.7014",50,39.06857,-123.7014,-123.7014,39.06857
"2021","39.07206_-123.7056",23,39.07206,-123.7056,-123.7056,39.07206
"2021","39.09419_-123.7114",36,39.09419,-123.7114,-123.7114,39.09419
"2021","39.12144_-123.7207",225,39.12144,-123.7207,-123.7207,39.12144
"2021","39.1225_-123.7235",41,39.1225,-123.7235,-123.7235,39.1225
"2021","39.12386_-123.7218",180,39.12386,-123.7218,-123.7218,39.12386
"2021","39.16695_-123.7486",67,39.16695,-123.7486,-123.7486,39.16695
"2021","39.19276_-123.7704",169,39.19276,-123.7704,-123.7704,39.19276
"2021","39.20406_-123.7778",65,39.20406,-123.7778,-123.7778,39.20406
"2021","39.20408_-123.7744",77,39.20408,-123.7744,-123.7744,39.20408
"2021","39.20677_-123.7768",113,39.20677,-123.7768,-123.7768,39.20677
"2021","39.22243_-123.7791",53,39.22243,-123.7791,-123.7791,39.22243
"2021","39.22706_-123.7746",31,39.22706,-123.7746,-123.7746,39.22706
